Player,Pos,G,GS,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Dante Exum,SG,35,1,13.9,1.6,0.47100000000000003,0.4,0.349,1.2,0.539,0.534,0.9,0.7440000000000001,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5,-2.9
Tacko Fall,C,7,0,4.7,1.6,0.7859999999999999,0.0,,1.6,0.7859999999999999,0.7859999999999999,0.1,0.33299999999999996,0.1,2.0,2.1,0.1,0.1,0.6,0.4,1.0,3.3,6.5
Derrick Favors,C,51,49,24.4,4.1,0.617,0.0,0.14300000000000002,4.1,0.627,0.618,0.8,0.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9.0,1.0
Cristiano Felício,PF,22,0,17.5,1.5,0.63,0.0,0.0,1.5,0.654,0.63,0.8,0.7829999999999999,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9,-3.0
Terrance Ferguson,SF,56,38,22.4,1.4,0.355,0.9,0.292,0.5,0.5579999999999999,0.466,0.3,0.75,0.4,0.9,1.3,0.9,0.5,0.3,0.6,2.8,3.9,-4.5
Bruno Fernando,C,56,13,12.7,1.8,0.518,0.1,0.135,1.8,0.605,0.53,0.5,0.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3,-4.1
Yogi Ferrell,PG,50,0,10.6,1.6,0.42,0.5,0.304,1.1,0.505,0.484,0.7,0.857,0.1,0.9,1.0,1.4,0.4,0.1,0.6,0.8,4.4,-1.8
Dorian Finney-Smith,PF,71,68,29.9,3.4,0.466,1.6,0.376,1.8,0.589,0.575,1.1,0.722,2.0,3.7,5.7,1.6,0.6,0.5,1.0,2.5,9.5,-0.2
Bryn Forbes,SG,63,62,25.1,3.8,0.41700000000000004,2.3,0.38799999999999996,1.5,0.47,0.544,1.2,0.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2,-2.7
Evan Fournier,SG,66,66,31.5,6.6,0.467,2.6,0.39899999999999997,4.0,0.527,0.56,2.7,0.818,0.3,2.3,2.6,3.2,1.1,0.2,1.9,2.4,18.5,1.0
De'Aaron Fox,PG,51,49,32.0,7.7,0.48,1.1,0.292,6.6,0.535,0.513,4.7,0.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1,1.8
Melvin Frazier,SG,19,0,6.6,0.8,0.441,0.4,0.5,0.4,0.389,0.5589999999999999,0.1,0.5,0.1,0.4,0.5,0.2,0.5,0.1,0.3,0.6,2.1,-2.3
Michael Frazier,SG,13,0,11.2,0.5,0.24100000000000002,0.3,0.174,0.2,0.5,0.31,0.7,0.643,0.1,0.7,0.8,0.2,0.2,0.0,0.4,1.7,2.1,-11.0
Tim Frazier,PG,27,11,13.1,1.3,0.36200000000000004,0.4,0.33299999999999996,0.9,0.375,0.415,0.7,0.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6,-4.6
Markelle Fultz,PG,72,60,27.7,5.0,0.465,0.5,0.267,4.5,0.507,0.488,1.6,0.73,0.6,2.7,3.3,5.1,1.3,0.2,2.0,2.0,12.1,-1.8
Wenyen Gabriel,PF,30,1,7.8,0.7,0.43799999999999994,0.2,0.3,0.5,0.536,0.5,0.5,0.682,0.7,1.0,1.7,0.3,0.4,0.2,0.5,1.3,2.1,-3.8
Daniel Gafford,C,43,7,14.2,2.2,0.701,0.0,,2.2,0.701,0.701,0.7,0.5329999999999999,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1,-1.3
Danilo Gallinari,PF,62,62,29.6,5.8,0.43799999999999994,2.9,0.405,2.9,0.47600000000000003,0.547,4.3,0.893,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7,3.3
Langston Galloway,SG,66,6,25.8,3.6,0.435,2.0,0.39899999999999997,1.6,0.493,0.557,1.1,0.8590000000000001,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3,-0.8
Darius Garland,PG,59,59,30.9,4.7,0.401,1.8,0.355,3.0,0.434,0.47600000000000003,1.1,0.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3,-5.6
Marc Gasol,C,44,43,26.4,2.7,0.42700000000000005,1.3,0.385,1.4,0.473,0.529,0.8,0.735,0.7,5.5,6.3,3.3,0.8,0.9,1.3,2.8,7.5,1.6
Rudy Gay,PF,67,5,21.8,4.0,0.446,1.1,0.336,2.9,0.511,0.508,1.8,0.882,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8,-0.8
Paul George,SF,48,48,29.6,7.1,0.439,3.3,0.41200000000000003,3.9,0.46399999999999997,0.539,4.0,0.8759999999999999,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5,4.9
Taj Gibson,C,62,56,16.5,2.7,0.584,0.1,0.28600000000000003,2.6,0.599,0.591,0.7,0.732,1.8,2.5,4.3,0.8,0.4,0.5,0.8,2.0,6.1,-1.1
Harry Giles,PF,46,17,14.5,3.0,0.5539999999999999,0.0,0.0,3.0,0.5579999999999999,0.5539999999999999,0.8,0.7759999999999999,0.9,3.2,4.1,1.3,0.5,0.4,1.0,2.6,6.9,-1.3
Shai Gilgeous-Alexander,SG,70,70,34.7,6.8,0.47100000000000003,1.2,0.34700000000000003,5.6,0.512,0.514,4.1,0.807,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19.0,1.7
Rudy Gobert,C,68,68,34.3,5.7,0.693,0.0,,5.7,0.693,0.693,3.7,0.63,3.4,10.1,13.5,1.5,0.8,2.0,1.9,3.2,15.1,3.6
Brandon Goodwin,PG,34,1,12.6,2.2,0.4,0.8,0.299,1.5,0.485,0.46799999999999997,0.8,0.9329999999999999,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1,-2.9
Aaron Gordon,PF,62,62,32.5,5.4,0.43700000000000006,1.2,0.308,4.2,0.494,0.484,2.4,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4,0.0
Eric Gordon,SF,36,15,28.2,4.8,0.369,2.7,0.317,2.1,0.469,0.473,2.3,0.7659999999999999,0.3,1.7,2.0,1.5,0.6,0.4,1.2,1.9,14.4,-3.9
Devonte' Graham,PG,63,53,35.1,5.8,0.382,3.5,0.373,2.4,0.397,0.495,3.0,0.82,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2,0.5
Treveon Graham,SG,55,20,16.9,1.6,0.36,0.6,0.275,1.0,0.44299999999999995,0.428,0.7,0.643,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4,-5.6
Jerami Grant,PF,71,24,26.6,4.3,0.478,1.4,0.389,2.9,0.537,0.555,2.1,0.75,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12.0,-0.5
Jerian Grant,PG,6,0,13.3,1.7,0.37,0.3,0.25,1.3,0.42100000000000004,0.40700000000000003,0.8,0.7140000000000001,0.3,0.7,1.0,1.5,0.2,0.2,0.5,1.8,4.5,-6.8
Josh Gray,PG,2,0,11.5,0.5,0.5,0.0,,0.5,0.5,0.5,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,2.5,0.5,1.0,-16.0
Danny Green,SG,68,68,24.8,2.9,0.41600000000000004,1.8,0.36700000000000005,1.1,0.524,0.542,0.5,0.688,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2.0,8.0,0.5
Draymond Green,PF,43,43,28.4,2.9,0.389,0.8,0.27899999999999997,2.0,0.465,0.446,1.5,0.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0,-0.2
JaMychal Green,PF,63,1,20.7,2.4,0.429,1.5,0.387,0.9,0.518,0.56,0.6,0.75,1.2,4.9,6.2,0.8,0.5,0.4,0.9,2.8,6.8,-0.5
Javonte Green,SF,48,2,9.8,1.3,0.5,0.2,0.273,1.1,0.581,0.536,0.6,0.667,0.5,1.4,1.9,0.5,0.5,0.2,0.5,0.9,3.4,-0.7
Jeff Green,PF-C,48,4,20.0,3.3,0.462,1.3,0.33899999999999997,2.0,0.602,0.552,1.5,0.802,0.5,2.3,2.8,1.0,0.5,0.4,0.9,1.9,9.4,-0.1
Blake Griffin,PF,18,18,28.4,4.9,0.35200000000000004,1.5,0.243,3.4,0.439,0.406,4.2,0.7759999999999999,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5,-4.3
Marko Guduric,SG,44,0,11.0,1.4,0.395,0.6,0.301,0.8,0.5,0.475,0.5,0.9229999999999999,0.3,1.3,1.7,1.0,0.3,0.2,0.8,0.8,3.9,-3.4
Kyle Guy,SG,3,0,3.3,0.7,0.4,0.0,0.0,0.7,1.0,0.4,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.3,-12.3
Rui Hachimura,PF,48,48,30.1,5.3,0.466,0.5,0.287,4.8,0.5,0.489,2.4,0.8290000000000001,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,13.5,-3.2
Devon Hall,SG,11,0,7.4,0.5,0.2,0.4,0.235,0.2,0.154,0.267,0.4,0.5,0.2,0.5,0.6,1.2,0.4,0.1,0.5,0.5,1.8,-6.4
Donta Hall,PF,9,0,14.8,1.7,0.682,0.0,,1.7,0.682,0.682,1.0,0.5,1.6,2.7,4.2,0.4,0.3,0.7,0.6,2.6,4.3,-3.7
Dusty Hannahs,SG,2,0,6.5,2.0,0.444,1.0,0.667,1.0,0.33299999999999996,0.556,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,6.0,3.1
Tim Hardaway Jr.,SG,71,58,29.5,5.4,0.434,2.9,0.39799999999999996,2.5,0.485,0.55,2.1,0.8190000000000001,0.4,2.9,3.3,1.9,0.6,0.1,1.0,1.8,15.8,-0.1
James Harden,SG,68,68,36.5,9.9,0.444,4.4,0.355,5.5,0.556,0.5429999999999999,10.2,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,9.6
Maurice Harkless,SF,62,48,23.0,2.3,0.502,0.5,0.34700000000000003,1.7,0.584,0.562,0.6,0.591,0.9,3.0,3.9,1.1,0.9,0.5,0.9,2.4,5.8,-0.7
Jared Harper,PG,3,0,2.7,0.3,0.25,0.0,0.0,0.3,0.5,0.25,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-15.7
Montrezl Harrell,C,63,2,27.8,7.5,0.58,0.0,0.0,7.5,0.593,0.58,3.7,0.6579999999999999,2.6,4.5,7.1,1.7,0.6,1.1,1.7,2.3,18.6,2.9
Gary Harris,SG,56,55,31.8,3.9,0.42,1.3,0.33299999999999996,2.6,0.479,0.48700000000000004,1.3,0.815,0.5,2.4,2.9,2.1,1.4,0.3,1.1,2.1,10.4,-2.5
Joe Harris,SF,69,69,30.8,5.5,0.486,2.5,0.424,3.0,0.5529999999999999,0.596,0.9,0.7190000000000001,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5,-0.2
Tobias Harris,PF,72,72,34.3,7.7,0.47100000000000003,1.8,0.36700000000000005,5.9,0.517,0.527,2.4,0.8059999999999999,1.0,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6,0.8
Shaquille Harrison,SF,43,10,11.3,1.8,0.467,0.4,0.381,1.4,0.496,0.515,0.9,0.78,0.5,1.5,2.0,1.1,0.8,0.4,0.4,1.3,4.9,2.8
Josh Hart,SF,65,16,27.0,3.5,0.423,1.9,0.342,1.6,0.584,0.537,1.3,0.7390000000000001,0.9,5.6,6.5,1.7,1.0,0.4,1.2,2.5,10.1,-0.7
Isaiah Hartenstein,C,23,2,11.6,1.9,0.657,0.0,0.0,1.9,0.71,0.657,0.8,0.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7,0.3
Udonis Haslem,PF,4,1,11.0,1.0,0.364,0.3,0.33299999999999996,0.8,0.375,0.409,0.8,0.75,0.3,3.8,4.0,0.3,0.0,0.0,0.3,1.5,3.0,-7.6
Jaxson Hayes,C,64,14,16.9,2.7,0.672,0.0,0.25,2.7,0.6779999999999999,0.674,1.9,0.647,1.5,2.5,4.0,0.9,0.4,0.9,0.8,2.5,7.4,-0.3
Gordon Hayward,SF,52,52,33.5,6.7,0.5,1.6,0.38299999999999995,5.1,0.5539999999999999,0.561,2.4,0.855,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,17.5,2.7
John Henson,PF,40,8,15.0,2.4,0.556,0.2,0.222,2.2,0.644,0.579,0.6,0.5,1.2,2.9,4.1,1.4,0.6,1.1,0.9,2.0,5.5,0.9
Dewan Hernandez,C,6,0,4.7,0.8,0.35700000000000004,0.2,0.5,0.7,0.33299999999999996,0.39299999999999996,0.5,0.6,0.8,1.5,2.3,0.5,0.2,0.0,0.5,1.0,2.3,-9.6
Juan Hernangómez,PF,48,14,17.4,2.1,0.405,0.9,0.341,1.2,0.475,0.494,0.9,0.62,0.9,3.2,4.1,0.8,0.4,0.2,0.7,1.3,6.0,-3.4
Willy Hernangómez,C,31,0,12.1,2.4,0.532,0.2,0.22699999999999998,2.2,0.59,0.55,1.2,0.627,1.4,2.9,4.3,0.9,0.3,0.2,1.0,1.0,6.1,0.1
Tyler Herro,SG,55,8,27.4,4.9,0.428,2.1,0.389,2.8,0.462,0.52,1.6,0.87,0.3,3.8,4.1,2.2,0.6,0.2,1.6,1.4,13.5,-1.6
Kevin Hervey,PF,10,0,5.2,0.7,0.259,0.3,0.15,0.4,0.5710000000000001,0.315,0.0,,0.1,1.1,1.2,0.5,0.1,0.1,0.0,0.4,1.7,-5.1
Mario Hezonja,PF,53,4,16.4,1.7,0.42200000000000004,0.5,0.308,1.3,0.486,0.47700000000000004,0.9,0.8140000000000001,0.6,2.9,3.5,0.9,0.7,0.2,0.8,2.0,4.8,-2.9
Buddy Hield,SG,72,44,30.8,6.9,0.429,3.8,0.39399999999999996,3.2,0.479,0.545,1.6,0.846,0.8,3.8,4.6,3.0,0.9,0.2,2.3,2.3,19.2,1.1
George Hill,PG,59,2,21.5,3.3,0.516,1.4,0.46,1.9,0.565,0.624,1.4,0.8420000000000001,0.8,2.2,3.0,3.1,0.8,0.1,1.0,1.4,9.4,2.9
Solomon Hill,SF,59,4,18.4,1.9,0.396,1.1,0.368,0.8,0.439,0.509,0.7,0.741,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5,-1.7
Jaylen Hoard,SF,13,0,7.9,1.2,0.469,0.0,0.0,1.2,0.517,0.469,0.6,0.615,1.1,1.4,2.5,0.3,0.4,0.0,0.3,0.9,2.9,-1.9
Aaron Holiday,PG,66,33,24.5,3.5,0.414,1.3,0.39399999999999996,2.2,0.42700000000000005,0.491,1.1,0.851,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5,-1.6
Jrue Holiday,SG,61,61,34.7,7.5,0.455,2.0,0.353,5.5,0.509,0.516,2.1,0.7090000000000001,1.3,3.5,4.8,6.7,1.6,0.8,3.0,2.4,19.1,1.8
Justin Holiday,SG,73,6,25.0,2.8,0.428,1.8,0.405,1.0,0.47700000000000004,0.5660000000000001,0.7,0.7909999999999999,0.4,2.8,3.3,1.3,1.2,0.6,0.6,1.9,8.3,1.3
Rondae Hollis-Jefferson,SF,60,6,18.7,2.6,0.47100000000000003,0.1,0.13,2.5,0.49700000000000005,0.47600000000000003,1.8,0.7340000000000001,1.8,2.9,4.7,1.8,0.8,0.4,1.0,1.9,7.0,0.3
Richaun Holmes,C,44,38,28.2,5.1,0.648,0.0,,5.1,0.648,0.648,2.1,0.7879999999999999,2.9,5.3,8.1,1.0,0.9,1.3,1.2,3.8,12.3,1.0
Rodney Hood,SF,21,21,29.5,4.1,0.506,1.7,0.493,2.5,0.515,0.608,1.0,0.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0,-0.9
Al Horford,C,67,61,30.2,4.8,0.45,1.5,0.35,3.3,0.516,0.52,0.9,0.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9,2.2
Talen Horton-Tucker,SG,6,1,13.5,2.3,0.467,0.7,0.308,1.7,0.588,0.5329999999999999,0.3,0.5,0.3,0.8,1.2,1.0,1.3,0.2,1.0,1.7,5.7,-2.1
Danuel House,SF,63,52,30.4,3.7,0.42700000000000005,2.0,0.363,1.6,0.5489999999999999,0.546,1.2,0.8109999999999999,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,10.5,-0.7
Dwight Howard,C,69,2,18.9,2.9,0.7290000000000001,0.0,0.6,2.9,0.732,0.735,1.6,0.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5,0.2
William Howard,PF,2,0,6.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,-19.6
Kevin Huerter,SG,56,48,31.4,4.5,0.413,2.3,0.38,2.2,0.45299999999999996,0.517,0.9,0.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2,-1.6
De'Andre Hunter,SF,63,62,32.0,4.4,0.41,1.7,0.355,2.7,0.45399999999999996,0.489,1.7,0.764,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,12.3,-4.7
Chandler Hutchison,SF,28,10,18.8,2.9,0.457,0.4,0.316,2.4,0.496,0.491,1.6,0.59,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8,-2.6
Serge Ibaka,C,55,27,27.0,6.2,0.512,1.3,0.385,5.0,0.5589999999999999,0.564,1.6,0.718,2.1,6.1,8.2,1.4,0.5,0.8,2.0,2.8,15.4,0.1
Andre Iguodala,SG,21,0,19.9,1.8,0.43200000000000005,0.7,0.298,1.1,0.585,0.511,0.3,0.4,0.8,2.9,3.7,2.4,0.7,1.0,1.2,1.7,4.6,-0.5
Ersan İlyasova,PF,63,8,15.7,2.3,0.466,0.8,0.365,1.5,0.545,0.546,1.1,0.828,1.0,3.8,4.8,0.8,0.4,0.3,0.5,1.5,6.6,0.4
Joe Ingles,SF,72,45,29.7,3.4,0.445,2.0,0.39899999999999997,1.5,0.525,0.5720000000000001,1.0,0.787,0.4,3.5,3.9,5.2,0.9,0.2,2.0,2.1,9.8,0.7
Brandon Ingram,PF,62,62,33.9,8.2,0.46299999999999997,2.4,0.391,5.8,0.501,0.531,5.0,0.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8,2.1
Kyrie Irving,PG,20,20,32.9,10.0,0.478,2.8,0.39399999999999996,7.2,0.522,0.546,4.7,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,7.7
Jonathan Isaac,SF,34,32,28.8,4.6,0.47,0.9,0.34,3.6,0.521,0.518,1.8,0.779,1.7,5.1,6.8,1.4,1.6,2.3,1.4,2.4,11.9,2.3
Wesley Iwundu,SF,52,21,18.3,1.9,0.41600000000000004,0.5,0.341,1.3,0.457,0.47600000000000003,1.5,0.804,0.5,2.1,2.5,1.2,0.5,0.3,0.5,1.5,5.8,-2.6
Frank Jackson,PG,59,2,13.5,2.3,0.405,0.8,0.326,1.5,0.465,0.47600000000000003,0.9,0.747,0.4,1.0,1.4,1.0,0.3,0.1,0.8,1.3,6.3,-5.5
Jaren Jackson Jr.,C,57,57,28.5,6.2,0.469,2.5,0.39399999999999996,3.6,0.54,0.565,2.4,0.747,1.0,3.6,4.6,1.4,0.7,1.6,1.7,4.1,17.4,0.4
Josh Jackson,SG,22,0,17.3,3.2,0.44,1.0,0.319,2.1,0.54,0.513,1.6,0.7,0.5,2.5,3.0,1.6,0.8,0.4,1.3,1.8,9.0,0.0
Justin Jackson,PF,65,3,16.1,2.1,0.396,0.7,0.294,1.3,0.489,0.466,0.6,0.84,0.4,2.0,2.4,0.8,0.2,0.2,0.2,1.1,5.5,-3.4
Reggie Jackson,PG,31,16,24.0,4.3,0.41100000000000003,1.8,0.39299999999999996,2.5,0.425,0.498,1.5,0.833,0.5,2.4,3.0,4.1,0.4,0.2,1.6,1.9,11.9,-0.4
Justin James,SG,36,0,6.4,1.0,0.41700000000000004,0.3,0.31,0.7,0.473,0.47,0.3,0.47600000000000003,0.2,0.7,0.9,0.5,0.2,0.3,0.2,0.5,2.5,-1.4
LeBron James,PG,67,67,34.6,9.6,0.493,2.2,0.348,7.4,0.564,0.55,3.9,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,8.4
Amile Jefferson,PF,18,0,4.1,0.3,0.35700000000000004,0.0,,0.3,0.35700000000000004,0.35700000000000004,0.3,0.35700000000000004,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8,-5.8
DaQuan Jeffries,SG,13,0,10.8,1.5,0.5,0.4,0.278,1.2,0.682,0.563,0.4,0.833,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,3.8,-3.8
Ty Jerome,PG,31,0,10.6,1.2,0.336,0.5,0.28,0.8,0.381,0.39799999999999996,0.4,0.75,0.2,1.3,1.5,1.4,0.5,0.1,0.6,0.9,3.3,-3.8
Alize Johnson,SF,17,1,6.9,0.7,0.414,0.2,0.375,0.5,0.429,0.466,0.4,0.7,0.9,1.9,2.8,0.4,0.2,0.1,0.4,0.7,2.0,-1.5
B.J. Johnson,SF,10,0,8.3,0.9,0.281,0.3,0.33299999999999996,0.6,0.261,0.32799999999999996,0.9,0.9,0.3,1.2,1.5,0.3,0.3,0.0,0.6,0.3,3.0,-9.0
Cameron Johnson,PF,57,9,22.0,3.1,0.435,1.9,0.39,1.2,0.526,0.565,0.8,0.807,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8,0.3
James Johnson,PF,32,1,19.3,3.2,0.479,1.0,0.363,2.2,0.565,0.556,1.0,0.6459999999999999,0.8,2.9,3.7,2.3,0.8,1.0,1.5,2.5,8.4,0.0
Keldon Johnson,SF,17,1,17.7,3.1,0.596,0.8,0.591,2.4,0.597,0.669,2.1,0.795,0.6,2.8,3.4,0.9,0.8,0.1,0.8,1.6,9.1,1.5
Stanley Johnson,PF,25,0,6.0,0.9,0.373,0.3,0.292,0.6,0.429,0.43200000000000005,0.4,0.563,0.3,1.2,1.5,0.8,0.2,0.2,0.6,0.6,2.4,-2.6
Tyler Johnson,SG,39,7,18.2,2.5,0.38799999999999996,1.0,0.319,1.5,0.45,0.46399999999999997,1.1,0.84,0.5,1.5,1.9,1.9,0.4,0.2,0.7,1.5,7.0,-2.9
Nikola Jokić,C,73,73,32.0,7.7,0.528,1.1,0.314,6.6,0.594,0.565,3.4,0.8170000000000001,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9,7.4
Damian Jones,C,55,27,16.1,2.2,0.68,0.0,0.222,2.2,0.7040000000000001,0.685,1.1,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6,-1.5
Derrick Jones Jr.,SF,59,16,23.3,3.1,0.527,0.6,0.28,2.5,0.677,0.58,1.6,0.772,1.1,2.8,3.9,1.1,1.0,0.6,0.5,2.2,8.5,0.7
Tyus Jones,PG,65,6,19.0,3.0,0.45899999999999996,0.7,0.379,2.3,0.49200000000000005,0.514,0.7,0.741,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,7.4,0.6
DeAndre Jordan,C,56,6,22.0,3.4,0.6659999999999999,0.0,,3.4,0.6659999999999999,0.6659999999999999,1.5,0.68,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3,3.0
Cory Joseph,PG,72,26,24.4,2.4,0.415,0.8,0.35200000000000004,1.6,0.455,0.483,0.8,0.857,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,6.4,-2.0
Mfiondu Kabengele,C,12,0,5.3,1.2,0.43799999999999994,0.8,0.45,0.4,0.41700000000000004,0.578,0.4,1.0,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5,2.2
Frank Kaminsky,C,39,13,19.9,3.5,0.45,1.1,0.331,2.5,0.53,0.516,1.6,0.6779999999999999,0.9,3.6,4.5,1.9,0.4,0.3,0.9,1.9,9.7,-0.5
Enes Kanter,C,58,7,16.9,3.4,0.5720000000000001,0.0,0.14300000000000002,3.4,0.581,0.573,1.2,0.7070000000000001,2.8,4.6,7.4,1.0,0.4,0.7,1.0,1.7,8.1,1.5
Luke Kennard,SG,28,25,32.9,5.4,0.442,2.6,0.39899999999999997,2.8,0.491,0.5479999999999999,2.4,0.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8,-0.3
Stanton Kidd,SF,4,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.8,0.0,-17.0
Michael Kidd-Gilchrist,SF-PF,25,0,11.2,0.9,0.33299999999999996,0.2,0.25,0.7,0.37,0.371,0.4,0.7859999999999999,0.6,2.1,2.7,0.6,0.1,0.2,0.6,1.5,2.4,-7.4
Louis King,SF,10,0,6.2,0.8,0.381,0.4,0.364,0.4,0.4,0.47600000000000003,0.0,0.0,0.1,0.9,1.0,0.5,0.2,0.0,0.2,1.0,2.0,-6.2
Maxi Kleber,C,74,21,25.5,3.2,0.461,1.6,0.373,1.6,0.605,0.5770000000000001,1.1,0.8490000000000001,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,9.1,0.4
Brandon Knight,PG,25,3,18.5,2.4,0.353,1.8,0.344,0.6,0.389,0.488,0.8,0.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3,-4.4
Kevin Knox,SF,65,4,17.9,2.2,0.359,1.0,0.327,1.2,0.391,0.44,1.0,0.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4,-4.2
John Konchar,SG,19,0,9.5,1.3,0.649,0.3,0.5,1.0,0.7040000000000001,0.716,0.1,0.5,0.9,1.5,2.5,1.2,0.4,0.2,0.4,0.4,2.8,4.5
Furkan Korkmaz,SG,72,12,21.7,3.4,0.43,2.0,0.402,1.4,0.478,0.557,1.1,0.755,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,9.8,-1.3
Luke Kornet,C,36,14,15.5,2.3,0.439,0.9,0.287,1.4,0.6459999999999999,0.521,0.6,0.7140000000000001,0.6,1.7,2.3,0.9,0.3,0.7,0.4,1.5,6.0,-1.2
Kyle Korver,SF,58,1,16.6,2.2,0.43,1.7,0.418,0.5,0.48200000000000004,0.599,0.6,0.8540000000000001,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.3,6.7,0.1
Rodions Kurucs,PF,47,9,14.6,1.7,0.446,0.7,0.36700000000000005,1.0,0.529,0.54,0.5,0.632,0.5,2.4,2.9,1.1,0.5,0.1,1.0,1.9,4.6,-2.8
Kyle Kuzma,PF,61,9,25.0,4.8,0.436,1.4,0.316,3.4,0.518,0.5,1.9,0.735,0.9,3.6,4.5,1.3,0.5,0.4,1.5,2.1,12.8,-2.6
Skal Labissière,C,33,1,17.2,2.5,0.551,0.1,0.231,2.4,0.5820000000000001,0.561,0.8,0.758,2.0,3.2,5.1,1.3,0.2,0.9,0.9,2.7,5.8,-1.3
Jeremy Lamb,SG,46,42,28.1,4.7,0.451,1.2,0.335,3.5,0.508,0.506,2.0,0.836,0.5,3.8,4.3,2.1,1.2,0.5,1.1,2.3,12.5,-0.4
Romeo Langford,SG,32,2,11.6,0.9,0.35,0.2,0.185,0.7,0.434,0.381,0.6,0.72,0.5,0.8,1.3,0.4,0.3,0.3,0.3,1.0,2.5,-4.9
Zach LaVine,SG,60,60,34.8,9.0,0.45,3.1,0.38,5.9,0.49700000000000005,0.526,4.5,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5,2.4
