Player,Pos,G,GS,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Sindarius Thornwell,SG,2,0,17.5,3.0,0.545,1.0,0.5,2.0,0.5710000000000001,0.636,1.0,0.5,0.0,2.0,2.0,2.0,0.5,0.5,1.0,1.0,8.0,-1.3
Matisse Thybulle,SG,65,14,19.8,1.7,0.423,0.9,0.35700000000000004,0.9,0.519,0.528,0.4,0.61,0.7,1.0,1.6,1.2,1.4,0.7,0.8,2.2,4.7,0.3
Anthony Tolliver,PF,55,13,15.9,1.2,0.35700000000000004,0.9,0.33799999999999997,0.3,0.43200000000000005,0.49200000000000005,0.4,0.7240000000000001,0.6,2.2,2.8,0.8,0.3,0.2,0.6,1.3,3.6,-3.2
Juan Toscano-Anderson,SF,13,6,20.9,2.2,0.46,0.6,0.348,1.6,0.525,0.524,0.2,0.6,0.7,3.3,4.0,2.0,1.0,0.4,1.2,2.3,5.3,-3.5
Karl-Anthony Towns,C,35,35,33.9,9.0,0.508,3.3,0.41200000000000003,5.8,0.586,0.6,5.1,0.7959999999999999,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5,7.8
Gary Trent Jr.,SG,61,8,21.8,3.2,0.444,1.8,0.418,1.4,0.486,0.5710000000000001,0.6,0.8220000000000001,0.4,1.2,1.6,1.0,0.8,0.3,0.3,1.5,8.9,-0.3
Allonzo Trier,PG,24,1,12.1,2.1,0.48100000000000004,0.8,0.358,1.3,0.604,0.5710000000000001,1.4,0.7909999999999999,0.3,1.0,1.2,1.2,0.1,0.2,0.9,1.2,6.5,-0.5
P.J. Tucker,PF,72,72,34.3,2.5,0.415,1.5,0.358,1.0,0.551,0.541,0.5,0.813,1.6,5.1,6.6,1.6,1.1,0.5,1.0,3.2,6.9,-1.9
Rayjon Tucker,SG,20,0,8.1,1.0,0.465,0.2,0.17600000000000002,0.9,0.654,0.5,1.0,0.826,0.2,0.9,1.0,0.3,0.1,0.1,0.4,0.5,3.1,-6.0
Evan Turner,PG,19,0,13.2,1.3,0.373,0.0,0.0,1.3,0.40299999999999997,0.373,0.6,0.857,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1,3.3,-5.6
Myles Turner,C,62,62,29.5,4.3,0.457,1.4,0.344,2.9,0.54,0.53,2.0,0.7509999999999999,1.4,5.2,6.6,1.2,0.7,2.1,1.4,2.7,12.1,0.1
Jarrod Uthoff,SF,7,0,7.6,1.0,0.389,0.4,0.33299999999999996,0.6,0.444,0.47200000000000003,0.3,1.0,0.3,0.6,0.9,0.0,0.1,0.0,0.0,0.3,2.7,-4.5
Jonas Valančiūnas,C,70,70,26.4,6.2,0.585,0.5,0.35200000000000004,5.7,0.617,0.606,2.1,0.74,3.0,8.2,11.3,1.9,0.4,1.1,1.8,2.6,14.9,2.4
